latitude,longitude,time,co,t
62.25,72.0,2018-05-01,1.2931241e-07,265.17175
62.25,72.75,2018-05-01,1.2780492e-07,264.45496
62.25,73.5,2018-05-01,1.2530018e-07,263.77332
62.25,74.25,2018-05-01,1.2226155e-07,263.35144
62.25,75.0,2018-05-01,1.2118744e-07,263.20496
62.25,75.75,2018-05-01,1.2201099e-07,263.21863
62.25,76.5,2018-05-01,1.2311057e-07,263.34167
62.25,77.25,2018-05-01,1.2375858e-07,263.67175
62.25,78.0,2018-05-01,1.3823774e-07,264.2987
62.25,78.75,2018-05-01,1.5146816e-07,265.2069
62.25,79.5,2018-05-01,1.3883846e-07,266.32605
62.25,80.25,2018-05-01,1.2914415e-07,267.62292
62.25,81.0,2018-05-01,1.3143335e-07,269.03894
62.25,81.75,2018-05-01,1.3225826e-07,270.39832
62.25,82.5,2018-05-01,1.3068302e-07,271.51355
62.25,83.25,2018-05-01,1.3062481e-07,272.3495
62.25,84.0,2018-05-01,1.2643659e-07,273.03503
62.25,84.75,2018-05-01,1.2521787e-07,273.66785
62.25,85.5,2018-05-01,1.250296e-07,274.1991
62.25,86.25,2018-05-01,1.2477813e-07,274.5487
62.25,87.0,2018-05-01,1.2472128e-07,274.7616
62.25,87.75,2018-05-01,1.2380406e-07,274.96863
62.25,88.5,2018-05-01,1.2234432e-07,275.23425
62.25,89.25,2018-05-01,1.2237888e-07,275.51355
62.25,90.0,2018-05-01,1.2291957e-07,275.75574
62.25,90.75,2018-05-01,1.2668715e-07,275.93933
62.25,91.5,2018-05-01,1.306471e-07,276.0487
62.25,92.25,2018-05-01,1.3155613e-07,276.0741
62.25,93.0,2018-05-01,1.323142e-07,276.08777
62.25,93.75,2018-05-01,1.327021e-07,276.24402
62.25,94.5,2018-05-01,1.3568388e-07,276.6327
62.25,95.25,2018-05-01,1.433641e-07,277.15417
62.25,96.0,2018-05-01,1.4502211e-07,277.61902
62.25,96.75,2018-05-01,1.3968611e-07,277.92175
62.25,97.5,2018-05-01,1.3514318e-07,278.1034
62.25,98.25,2018-05-01,1.3037106e-07,278.21667
62.25,99.0,2018-05-01,1.2828605e-07,278.25574
62.25,99.75,2018-05-01,1.2761484e-07,278.21277
62.25,100.5,2018-05-01,1.2690543e-07,278.15808
62.25,101.25,2018-05-01,1.2625196e-07,278.19714
62.25,102.0,2018-05-01,1.2573128e-07,278.33386
62.25,102.75,2018-05-01,1.252165e-07,278.47253
62.25,103.5,2018-05-01,1.2463215e-07,278.5448
62.25,104.25,2018-05-01,1.2410692e-07,278.6034
62.25,105.0,2018-05-01,1.235212e-07,278.73035
62.25,105.75,2018-05-01,1.2295595e-07,278.89636
62.25,106.5,2018-05-01,1.2248529e-07,278.98035
62.25,107.25,2018-05-01,1.2239525e-07,278.92566
62.25,108.0,2018-05-01,1.231806e-07,278.80847
62.25,108.75,2018-05-01,1.2363216e-07,278.6776
62.25,109.5,2018-05-01,1.2430291e-07,278.45496
62.25,110.25,2018-05-01,1.2358578e-07,278.04285
62.25,111.0,2018-05-01,1.2210967e-07,277.53308
62.25,111.75,2018-05-01,1.2264445e-07,277.16003
62.25,112.5,2018-05-01,1.2395958e-07,277.0741
62.25,113.25,2018-05-01,1.347089e-07,277.20105
62.25,114.0,2018-05-01,1.4641273e-07,277.412
62.25,114.75,2018-05-01,1.4704847e-07,277.68738
62.25,115.5,2018-05-01,1.4604848e-07,278.05066
62.25,116.25,2018-05-01,1.3954559e-07,278.38855
62.25,117.0,2018-05-01,1.3424824e-07,278.47253
62.25,117.75,2018-05-01,1.2906503e-07,278.16394
62.25,118.5,2018-05-01,1.2628652e-07,277.53113
62.25,119.25,2018-05-01,1.2587407e-07,276.77917
62.25,120.0,2018-05-01,1.2599958e-07,276.13464
62.25,120.75,2018-05-01,1.2657301e-07,275.74988
62.25,121.5,2018-05-01,1.2713781e-07,275.61902
62.25,122.25,2018-05-01,1.2710052e-07,275.5487
62.25,123.0,2018-05-01,1.2659257e-07,275.32996
62.25,123.75,2018-05-01,1.2584951e-07,275.03113
62.25,124.5,2018-05-01,1.2409237e-07,274.95886
62.25,125.25,2018-05-01,1.2257351e-07,275.27722
62.25,126.0,2018-05-01,1.2054443e-07,275.7284
62.25,126.75,2018-05-01,1.19106524e-07,275.92175
62.25,127.5,2018-05-01,1.1841849e-07,275.8319
62.25,128.25,2018-05-01,1.1886596e-07,275.7909
62.25,129.0,2018-05-01,1.2072633e-07,275.99207
62.25,129.75,2018-05-01,1.2292685e-07,276.18542
62.25,130.5,2018-05-01,1.2535747e-07,276.02136
62.25,131.25,2018-05-01,1.2799183e-07,275.56042
62.25,132.0,2018-05-01,1.3003864e-07,275.21277
62.25,132.75,2018-05-01,1.3194995e-07,275.2362
62.25,133.5,2018-05-01,1.3432873e-07,275.4784
62.25,134.25,2018-05-01,1.3379395e-07,275.6151
62.25,135.0,2018-05-01,1.3323461e-07,275.4237
62.25,135.75,2018-05-01,1.293165e-07,274.74207
62.25,136.5,2018-05-01,1.1929205e-07,273.34558
62.25,137.25,2018-05-01,1.15226165e-07,271.08386
62.25,138.0,2018-05-01,1.1166549e-07,268.18933
62.25,138.75,2018-05-01,1.0697023e-07,265.31042
62.25,139.5,2018-05-01,1.0436407e-07,263.15417
62.25,140.25,2018-05-01,1.0275836e-07,262.0995
62.25,141.0,2018-05-01,1.01877966e-07,262.037
62.25,141.75,2018-05-01,1.0160512e-07,262.49597
62.25,142.5,2018-05-01,1.0245595e-07,262.9569
